Country,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Burkina Faso,1875.6622,5472.4614,3596.2703,5050.3203,1410.6569,4447.2422,2009.8197,2480.6013,2925.3982,2914.4531,3996.0164,2259.4463,1477.9977,3474.4473,931.30682,871.09558,1112.7001,728.17682,2339.572,1512.2488,297.95255,561.84338,1786.754,134.82092,,488.87708,523.25983,349.43491,141.86935,232.79337,5.9089861,18.849649,9.0389757,0.84198707,26.88904,3574.2686,160.90996,53.475937,444.27011,21.964506,19.50415,5.4662914,,,,,,
Burundi,5533.2964,8430.6729,9898.1279,15376.864,12679.867,10853.975,11957.008,13964.007,9704.8232,11081.592,6253.9927,7813.6963,8184.8408,4670.6094,6476.0513,5305.6816,2452.8162,1876.0375,3947.0059,4136.0249,1224.7957,2479.3694,2664.9561,208.27879,234.2386,466.31628,2868.7705,,150.69713,32.216309,0.27847397,0.0,102.14983,5.415617,21.066732,35.928848,56.461731,14.2636,5.2575107,0.0,0.0,0.88243943,,,,,,
Cambodia,,,,,,,4817.6929,6042.3828,8326.8281,1446.4286,5147.5962,5776.8701,2163.4626,1132.3816,585.01306,1065.2549,275.60458,235.3828,286.73874,126.60513,91.711098,191.28966,256.28415,338.70398,171.83997,1163.4972,1006.9948,303.25754,107.71666,50.80526,26.946337,19.894499,13.952798,28.807487,303.36432,339.17673,80.788315,49.662952,1.0150911,0.0,0.0,0.0,,,,,,
Cameroon,4790.4604,,948.88513,,2934.5068,,,1187.2115,3698.657,6236.5273,3960.1724,4694.3281,3080.2468,1557.0306,2103.6077,2138.0583,1805.3777,1212.3373,2211.4595,853.67194,118.0778,182.97304,852.15753,529.75647,738.84607,731.53369,957.77136,1527.1823,90.021759,54.43866,21.109735,34.728203,10.94972,5.4362597,26.18078,12.916174,12.018027,24.561403,28.887203,35.0942,37.365108,79.220497,,,,,,
Canada,524.78326,567.58508,390.4165,0.0,243.94104,924.45837,565.02423,93.057968,42.490314,36.921375,159.4713,108.83512,570.09308,89.762894,22.599079,407.85333,37.301846,220.28882,96.603722,7.0704608,18.018328,80.497787,11.039093,19.362606,0.39764068,0.95225585,6.7022386,1.0958904,0.19156477,0.47426331,0.21909919,0.18582755,0.39822331,3.0587523,1.8560096,0.41432378,2.8973632,23.249081,0.28652474,2.3542759,11.739924,5.4242001,,,,,,
Cape Verde,,,1605.8394,739.13043,935.48389,1085.1063,4456.4458,513.69861,4316.4985,4570.957,158.57605,9676.1904,,1384.6154,21.212122,2.9850745,0.0,20.0,2.7855153,0.0,79.15567,25.706942,0.0,21039.215,693.04559,2.3474178,4.5977011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
Central African Republic,1598.1781,,5816.1978,2076.7773,4070.3052,4102.749,3631.5789,1627.6097,1059.5287,627.35663,2492.2058,928.62567,661.8465,779.67334,674.96442,115.21058,433.67346,1208.6235,976.09821,532.53693,,269.01282,72.176949,55.160648,40.589378,163.1765,854.06128,740.34448,240.02048,163.73682,304.06906,114.09884,0.71394575,11.459308,2.7617953,2.4977293,0.44953921,151.69794,31.403118,132.44444,46.511627,32.99604,,,,,,
Chad,1762.75,548.67908,3595.6377,2891.1614,468.86533,69.215111,,7.8091106,259.38495,1068.5442,1397.0529,1262.7651,667.55676,669.93341,652.75787,1291.4355,1213.0267,3444.2275,2998.1099,3187.0042,1431.778,3135.552,3336.832,1394.1012,1594.4065,854.01642,425.02698,2875.2166,808.37592,1689.4044,1063.2338,0.19866891,152.94569,40.924274,5.6583438,14.344084,16.320351,703.88153,9.4451008,17.207249,93.96418,29.837961,,,,,,
Chile,1636.8949,806.15179,239.76608,98.643875,1407.0991,3099.0359,341.20361,570.59186,812.5,572.30042,399.21576,1403.9077,1014.4542,208.27379,3519.3223,998.61816,147.86285,155.90399,0.073147535,0.072030544,0.0,0.0,0.0,3.9469206,0.40300915,2.0561121,0.0,0.0,0.0,0.06329114,0.0,0.0,0.0,0.0,0.0,0.059421238,0.0,0.34979305,0.0,0.0,0.0,0.50667119,,,,,,
China,3626.0295,2772.2437,2730.9988,2773.491,2461.364,1752.2853,1129.1991,1002.7332,873.43347,753.50201,588.39966,390.48785,182.27025,94.41288,85.618248,73.727036,73.09938,103.79218,116.31855,96.827042,62.005287,42.93111,54.724033,63.238094,41.840179,48.486485,55.402943,68.912682,44.92445,55.023026,53.689972,93.989738,74.933289,81.555145,97.768173,38.800564,28.063143,7.2710385,4.4960766,19.441088,37.858875,30.322205,,,,,,
Colombia,1072.7445,432.44336,919.00641,824.62848,771.48895,669.17462,332.46811,691.14746,319.46118,441.23691,390.41187,179.67238,163.56174,637.91608,448.84158,374.67285,365.31281,297.59143,224.30327,251.55408,14.257007,10.95027,4.2051039,1.7337301,1.5547739,1.1050001,0.024750024,0.073190369,3.3435967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12929083,0.021330602,0.021122446,0.0,0.020734413,,,,,,
Comoros,7504.0,,1041.3534,1003.6232,0.0,0.0,5847.4028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,425.0,5650.4854,0.0,0.0,0.0,4.3290043,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,1490.196,135.78275,0.0,0.0,1.4858841,0.0,4.2432814,1.3812155,0.0,0.0,0.0,,,,,,
