Country,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Chile,,,,,,,94.0,95.0,96.0,95.0,94.0,92.0,91.0,92.0,95.0,92.0,97.0,99.0,89.0,94.0,96.0,97.0,93.0,96.0,98.0,94.0,97.0,96.0,95.0,96.0,94.0,90.0,91.0,92.0,96.0,93.0,93.0,91.0,90.0,90.0,97.0,96.0,93.0,93.0,93.0,95.0,,
China,,,,,,,,,,78.0,84.0,88.0,63.0,77.0,95.0,95.0,98.0,92.0,87.0,81.0,75.0,80.0,84.0,83.0,83.0,84.0,84.0,85.0,85.0,85.0,86.0,86.0,93.0,94.0,97.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,,
Colombia,,,,,,,13.0,26.0,28.0,43.0,51.0,51.0,45.0,59.0,74.0,81.0,82.0,78.0,74.0,94.0,84.0,95.0,90.0,80.0,78.0,79.0,88.0,93.0,93.0,93.0,94.0,96.0,95.0,93.0,95.0,89.0,88.0,88.0,94.0,92.0,91.0,94.0,93.0,93.0,95.0,95.0,,
Comoros,,,,,,,,,,,42.0,18.0,71.0,71.0,40.0,85.0,87.0,40.0,51.0,56.0,59.0,69.0,43.0,49.0,67.0,69.0,70.0,70.0,71.0,67.0,76.0,67.0,66.0,65.0,76.0,79.0,72.0,79.0,85.0,85.0,86.0,90.0,90.0,90.0,90.0,90.0,,
Congo,,,,,,,49.0,49.0,55.0,59.0,52.0,67.0,69.0,69.0,73.0,75.0,75.0,64.0,60.0,55.0,47.0,38.0,42.0,18.0,21.0,23.0,34.0,35.0,37.0,50.0,65.0,54.0,61.0,59.0,69.0,63.0,75.0,83.0,80.0,80.0,80.0,80.0,67.0,70.0,75.0,73.0,,
Cook Islands,,,,,,,,,,68.0,65.0,76.0,70.0,84.0,92.0,99.0,67.0,94.0,87.0,99.0,72.0,96.0,72.0,88.0,97.0,84.0,76.0,83.0,95.0,99.0,99.0,99.0,99.0,98.0,95.0,78.0,99.0,89.0,97.0,97.0,98.0,99.0,90.0,98.0,99.0,99.0,,
Costa Rica,,,,,,,60.0,79.0,87.0,84.0,76.0,78.0,90.0,93.0,97.0,77.0,90.0,96.0,92.0,89.0,87.0,91.0,84.0,99.0,83.0,88.0,82.0,82.0,94.0,89.0,88.0,89.0,90.0,90.0,89.0,81.0,83.0,83.0,90.0,91.0,95.0,93.0,93.0,96.0,94.0,95.0,,
Cote d'Ivoire,,,,,,,,,,,31.0,31.0,31.0,30.0,31.0,41.0,56.0,57.0,54.0,52.0,55.0,57.0,65.0,68.0,66.0,57.0,68.0,71.0,71.0,70.0,78.0,84.0,73.0,67.0,63.0,67.0,64.0,49.0,74.0,69.0,59.0,67.0,73.0,70.0,76.0,76.0,,
Croatia,,,,,,,,,,,,,,,,,,,90.0,90.0,90.0,92.0,92.0,91.0,91.0,92.0,93.0,94.0,95.0,94.0,96.0,96.0,95.0,96.0,96.0,95.0,96.0,96.0,95.0,94.0,94.0,93.0,90.0,89.0,93.0,93.0,,
Cuba,,,,,,,48.0,49.0,55.0,94.0,82.0,85.0,80.0,99.0,89.0,98.0,94.0,99.0,99.0,96.0,99.0,99.0,99.0,96.0,99.0,96.0,94.0,96.0,98.0,99.0,99.0,98.0,96.0,97.0,98.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,,
Cyprus,,,,,,,29.0,28.0,21.0,19.0,25.0,43.0,60.0,91.0,74.0,76.0,77.0,78.0,80.0,81.0,82.0,83.0,90.0,90.0,89.0,87.0,86.0,86.0,86.0,86.0,86.0,86.0,87.0,87.0,87.0,87.0,87.0,87.0,86.0,86.0,86.0,90.0,90.0,90.0,90.0,86.0,,
Czechia,,,,,,,,,,,,,,,,,,,,98.0,97.0,96.0,97.0,96.0,95.0,97.0,97.0,97.0,98.0,97.0,97.0,97.0,97.0,98.0,97.0,98.0,98.0,98.0,98.0,99.0,99.0,99.0,98.0,97.0,96.0,92.0,,
Democratic Republic of Congo,,,,,,,18.0,23.0,25.0,30.0,30.0,40.0,39.0,41.0,44.0,41.0,38.0,17.0,25.0,33.0,39.0,27.0,21.0,20.0,20.0,15.0,46.0,35.0,42.0,49.0,57.0,61.0,63.0,68.0,64.0,72.0,74.0,74.0,72.0,71.0,67.0,64.0,57.0,57.0,57.0,57.0,,
Denmark,,,,,,,,,,,,,,82.0,72.0,80.0,84.0,86.0,85.0,81.0,88.0,88.0,85.0,84.0,91.0,92.0,99.0,94.0,95.0,96.0,96.0,95.0,90.0,89.0,87.0,84.0,85.0,87.0,90.0,89.0,90.0,91.0,94.0,97.0,95.0,96.0,,
Djibouti,,,,,,,,,15.0,18.0,20.0,27.0,19.0,22.0,68.0,75.0,85.0,53.0,41.0,41.0,42.0,41.0,41.0,31.0,21.0,23.0,50.0,49.0,62.0,66.0,60.0,65.0,67.0,74.0,73.0,84.0,85.0,84.0,83.0,80.0,71.0,74.0,75.0,81.0,86.0,83.0,,
Dominica,,,,,,,,,43.0,63.0,85.0,93.0,97.0,87.0,90.0,88.0,88.0,98.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,97.0,96.0,99.0,99.0,99.0,99.0,99.0,93.0,94.0,96.0,96.0,77.0,84.0,92.0,,
Dominican Republic,,,,,,,30.0,18.0,25.0,24.0,19.0,54.0,71.0,71.0,29.0,65.0,70.0,72.0,73.0,75.0,76.0,78.0,79.0,79.0,80.0,83.0,85.0,88.0,86.0,83.0,81.0,79.0,81.0,82.0,83.0,84.0,85.0,87.0,88.0,83.0,88.0,90.0,85.0,86.0,95.0,96.0,,
Ecuador,,,,,,,24.0,31.0,45.0,34.0,54.0,51.0,50.0,47.0,53.0,57.0,60.0,54.0,69.0,85.0,83.0,81.0,79.0,77.0,89.0,99.0,99.0,99.0,99.0,99.0,99.0,93.0,97.0,98.0,98.0,97.0,95.0,94.0,96.0,97.0,85.0,84.0,86.0,81.0,83.0,83.0,,
Egypt,,,,,,,41.0,41.0,41.0,41.0,47.0,74.0,78.0,76.0,85.0,86.0,86.0,89.0,89.0,89.0,89.0,89.0,92.0,92.0,98.0,96.0,98.0,97.0,97.0,98.0,97.0,98.0,98.0,97.0,92.0,95.0,96.0,96.0,93.0,96.0,93.0,92.0,95.0,94.0,94.0,95.0,,
